eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
883.9,-20.6,265,0.0003956761,0.0,1.6976573,-0.001770184,0.047408547,0.0,41,5248,37.251636355998926,10496
893.4545454545455,-20.636363636363637,296,0.0010053968,0.0,1.7040803,-0.004755556,0.060284592,-0.0003407001495361328,42,5376,38.11692826205399,10752
895.5,-20.583333333333332,300,0.002129639,0.15136719,1.7320242,-0.008365683,0.06794764,0.0029984116554260254,43,5504,38.96995527506806,11008
895.5,-20.583333333333332,256,0.00017640584,0.0,1.7451072,-0.0011114262,0.042979248,0.0,44,5632,39.969220113009214,11264
895.5,-20.583333333333332,256,0.00063390937,0.0,1.7400955,-0.003343286,0.046931565,0.0,45,5760,40.967062446055934,11520
895.5,-20.583333333333332,248,0.00044155674,0.0,1.7230238,-0.00082989945,0.051837407,0.0,46,5888,41.99783625500277,11776
895.5,-20.583333333333332,251,6.845911e-05,0.0,1.7129139,-0.0001180321,0.068467274,1.1920928955078125e-07,47,6016,43.017232457059436,12032
895.5,-20.583333333333332,269,0.0002050597,0.0,1.7100652,-0.0011069718,0.04806815,1.7881393432617188e-07,48,6144,43.96734216203913,12288
902.6923076923077,-20.53846153846154,287,0.00032108193,0.005859375,1.7177736,-0.0014076756,0.07517322,-0.0051947832107543945,49,6272,44.85904609807767,12544
900.2857142857143,-20.571428571428573,282,0.00016562073,0.0,1.7282948,-0.0004605503,0.08002445,-0.022884368896484375,50,6400,45.765463031013496,12800
900.2857142857143,-20.571428571428573,295,0.00011462081,0.0,1.7283623,0.0012733496,0.033123948,5.960464477539063e-08,51,6528,46.63235249102581,13056
900.2857142857143,-20.571428571428573,230,0.00023918967,0.0,1.7348585,-0.0006428533,0.08627326,0.0,52,6656,47.74549384205602,13312
900.2857142857143,-20.571428571428573,276,0.00010068006,0.0,1.7423615,-0.00048172974,0.056132883,0.0,53,6784,48.67341460310854,13568
900.2857142857143,-20.571428571428573,308,0.00034027803,0.0,1.741487,-0.0023962294,0.04994779,-1.1920928955078125e-07,54,6912,49.50296968105249,13824
900.2857142857143,-20.571428571428573,303,0.0002922756,0.0,1.7383617,-0.0011941742,0.05140639,0.0,55,7040,50.34848042705562,14080
900.2857142857143,-20.571428571428573,314,0.00027698083,0.0,1.7398615,-0.0006411857,0.059907876,5.960464477539063e-08,56,7168,51.16362586210016,14336
905.0,-20.533333333333335,255,0.00029967495,0.0,1.7457674,-0.0017880249,0.055327155,0.0025811195373535156,57,7296,52.167112766066566,14592
905.0,-20.533333333333335,268,0.00018537085,0.0,1.7509878,-8.149707e-05,0.06594749,0.0,58,7424,53.122250312007964,14848
919.8125,-20.4375,303,0.00028266382,0.0,1.7400191,-0.0012429066,0.09204517,0.008008956909179688,59,7552,53.96563869807869,15104
919.8125,-20.4375,264,0.00027613886,0.0,1.7346102,-0.0018448049,0.05253701,0.0,60,7680,54.93572748801671,15360
919.8125,-20.4375,313,0.0007389889,0.05078125,1.735683,-0.0020246124,0.08350152,0.0,61,7808,55.75290619104635,15616
919.8125,-20.4375,248,0.000394687,0.0,1.7291136,-0.0034201725,0.051333193,0.0,62,7936,56.78415897407103,15872
914.0588235294117,-20.470588235294116,292,0.001006404,0.036132812,1.7045192,-0.003594696,0.05884067,0.0026840567588806152,63,8064,57.661332339048386,16128
914.0588235294117,-20.470588235294116,260,0.00033176987,0.0,1.6850806,-0.000669795,0.04708214,0.0,64,8192,58.645467331050895,16384
914.0588235294117,-20.470588235294116,257,0.00067847123,0.0048828125,1.6750383,-0.0033979043,0.050272293,0.0,65,8320,59.63891645008698,16640
912.8888888888889,-20.444444444444443,202,0.00019676765,0.0,1.6567748,0.00046346674,0.053036463,0.0018257498741149902,66,8448,60.906902927090414,16896
912.8888888888889,-20.444444444444443,255,0.00062476384,0.0,1.6569811,-0.0024697753,0.03971231,-2.384185791015625e-07,67,8576,61.90808836405631,17152
912.8888888888889,-20.444444444444443,312,0.0002777294,0.0,1.6593474,0.0008951402,0.050254375,5.960464477539063e-08,68,8704,62.728886414086446,17408
912.8888888888889,-20.444444444444443,322,0.00050084613,0.026367188,1.6751099,-0.003606482,0.048238885,0.0,69,8832,63.52358302799985,17664
912.8888888888889,-20.444444444444443,324,0.0005206487,0.0,1.6910055,-0.003064009,0.047242276,5.960464477539063e-08,70,8960,64.31326082500163,17920
917.7894736842105,-20.473684210526315,278,0.00055937795,0.0,1.7180967,-0.0014142254,0.06851947,0.005789577960968018,71,9088,65.23395585105754,18176
911.2,-20.5,190,0.00091633503,0.01171875,1.738641,-0.0034277597,0.06161158,0.0035303831100463867,72,9216,66.57667197205592,18432
911.2,-20.5,152,0.0007130658,0.0146484375,1.7544109,-0.0036968093,0.04589709,-1.1920928955078125e-07,73,9344,68.25223923008889,18688
911.2,-20.5,142,0.0009816767,0.0,1.7706549,-0.0031858424,0.04206743,0.0,74,9472,70.0568413240835,18944
911.2,-20.5,128,0.00020875342,0.0,1.7775631,0.00058701064,0.042079985,0.0,75,9600,72.05318519403227,19200
911.2,-20.5,232,0.00023615916,0.0,1.7781913,-0.0010908709,0.08532938,0.0,76,9728,73.15425449702889,19456
911.2,-20.5,254,0.00046904947,0.0,1.7764058,-0.002816522,0.046760798,1.7881393432617188e-07,77,9856,74.16105440200772,19712
911.2,-20.5,261,0.0003972646,0.0,1.767054,0.00014420936,0.05072332,0.0,78,9984,75.14112468704116,19968
912.0454545454545,-20.5,176,0.00017896757,0.0,1.7655661,-0.0008327783,0.076882444,-0.0005352497100830078,79,10112,76.59211095899809,20224
912.0454545454545,-20.5,136,0.00018309415,0.0,1.7676506,0.00032756018,0.041770343,-1.1920928955078125e-07,80,10240,78.46575493109412,20480
912.0454545454545,-20.5,157,0.00013158521,0.0,1.7706746,-0.0013448134,0.04715335,0.0,81,10368,80.08961154008284,20736
912.0454545454545,-20.5,215,0.0005744492,0.0,1.7683619,-0.0031146295,0.045935176,0.0,82,10496,81.27778416208457,20992
912.0454545454545,-20.5,257,0.0005363897,0.0,1.7623285,-0.0031278643,0.04458783,0.0,83,10624,82.2743341390742,21248
912.0454545454545,-20.5,256,0.00033721837,0.0,1.758141,-0.0013793042,0.048818488,-1.1920928955078125e-07,84,10752,83.27412188099697,21504
904.4166666666666,-20.541666666666668,257,0.00035887698,0.0,1.7456868,-0.00024207315,0.0968926,-0.001111745834350586,85,10880,84.27022597601172,21760
904.4166666666666,-20.541666666666668,279,0.00030743078,0.0,1.7381134,-0.0018813213,0.06999252,5.960464477539063e-08,86,11008,85.18750059301965,22016
904.4166666666666,-20.541666666666668,285,0.00032382683,0.0,1.7297221,-0.0019343733,0.04801061,0.0,87,11136,86.08423527609557,22272
904.4166666666666,-20.541666666666668,261,0.0003268401,0.0,1.7123021,-0.00029776647,0.04547089,0.0,88,11264,87.06357135204598,22528
904.4166666666666,-20.541666666666668,289,0.0005360031,0.029296875,1.7096785,-0.0042447327,0.04394992,5.960464477539063e-08,89,11392,87.94880546908826,22784
904.4166666666666,-20.541666666666668,284,0.0010213244,0.038085938,1.7240827,-0.00551008,0.089027114,0.0,90,11520,88.8499380160356,23040
904.4166666666666,-20.541666666666668,277,0.00037615994,0.0,1.736154,0.00036569702,0.04000576,0.0,91,11648,89.77216879010666,23296
904.0769230769231,-20.5,268,0.00027585565,0.0,1.7328287,-0.0007546586,0.092829354,-0.00405120849609375,92,11776,90.72714483202435,23552
904.0769230769231,-20.5,286,4.177803e-05,0.0,1.7301524,-3.679999e-05,0.047694094,-1.1920928955078125e-07,93,11904,91.62275431805756,23808
904.0769230769231,-20.5,281,0.00046732032,0.0,1.7348231,-0.0019036501,0.041156583,0.0,94,12032,92.53233880107291,24064
904.0769230769231,-20.5,279,0.0002117677,0.0,1.7359467,7.816823e-06,0.051417716,0.0,95,12160,93.44753200409468,24320
904.0769230769231,-20.5,287,0.00046702614,0.0,1.7316296,-0.0033835273,0.045358833,0.0,96,12288,94.33702596905641,24576
904.0769230769231,-20.5,269,0.0005708635,0.0,1.7237723,-0.00050790474,0.044370685,0.0,97,12416,95.28905023401603,24832
899.5925925925926,-20.51851851851852,263,0.001034105,0.036132812,1.7236769,-0.0061084502,0.07727479,0.0,98,12544,96.26200177206192,25088
899.75,-20.535714285714285,257,0.00014697929,0.0,1.7138865,0.00083313335,0.07386783,0.007268786430358887,99,12672,97.25787659105845,25344
899.75,-20.535714285714285,283,0.00014608822,0.0,1.7164596,-0.0005273712,0.033096824,0.0,100,12800,98.16215766302776,25600
899.75,-20.535714285714285,284,0.00036825892,0.0,1.7083671,-0.0003575317,0.06808229,0.0,101,12928,99.06218738900498,25856
899.75,-20.535714285714285,286,0.00041734643,0.0,1.7013587,-0.0017069355,0.07043501,0.0,102,13056,99.9572617240483,26112
899.75,-20.535714285714285,282,0.00015464472,0.0,1.6942111,-0.00010680611,0.08074872,0.0,103,13184,100.86482550599612,26368
899.75,-20.535714285714285,281,0.00080200774,0.047851562,1.7092854,-0.0032036877,0.08998026,0.0,104,13312,101.77552611706778,26624
899.75,-20.535714285714285,279,0.00017086841,0.0,1.7132555,-0.00064599613,0.047283206,5.960464477539063e-08,105,13440,102.69131187500898,26880
899.75,-20.535714285714285,282,0.00050730165,0.0,1.7076662,-0.003089631,0.049675092,0.0,106,13568,103.59700594609603,27136
899.75,-20.535714285714285,281,0.00036910083,0.0,1.7035191,-0.0018171202,0.04446965,0.0,107,13696,104.50629681407008,27392
919.4666666666667,-20.433333333333334,270,0.0003078361,0.0,1.6839434,0.0005233651,0.058637276,-0.010481476783752441,108,13824,105.45345062110573,27648
919.4666666666667,-20.433333333333334,289,0.0006389388,0.05859375,1.6810989,-0.0034309598,0.051308375,-1.1920928955078125e-07,109,13952,106.33747658808716,27904
919.4666666666667,-20.433333333333334,271,0.00063175615,0.0,1.6685045,-0.0029484867,0.032186586,5.960464477539063e-08,110,14080,107.28032873210032,28160
919.4666666666667,-20.433333333333334,281,0.0010089517,0.037109375,1.6453086,-0.0041702623,0.08986147,-1.1920928955078125e-07,111,14208,108.19061949010938,28416
919.4666666666667,-20.433333333333334,282,0.00026662945,0.0,1.6510503,-0.0011026398,0.04487385,0.0,112,14336,109.09892869205214,28672
919.4666666666667,-20.433333333333334,279,0.00045402447,0.0126953125,1.6597843,-0.0025889436,0.043862138,-1.1920928955078125e-07,113,14464,110.01470648101531,28928
919.4666666666667,-20.433333333333334,277,0.00024482346,0.0,1.6480378,-0.00019839313,0.052291885,0.0,114,14592,110.93843547604047,29184
918.258064516129,-20.451612903225808,278,0.00069918623,0.021484375,1.6424297,-0.0035759415,0.06108647,0.006861329078674316,115,14720,111.85968784301076,29440
921.0,-20.4375,257,0.00023877749,0.0048828125,1.6532476,-0.0007416081,0.06930533,0.006796658039093018,116,14848,112.85418072110042,29696
921.0,-20.4375,272,0.00011959236,0.0,1.6569376,-0.00021881191,0.078250654,-1.1920928955078125e-07,117,14976,113.79284071200527,29952
921.0,-20.4375,281,0.0004731096,0.0146484375,1.6508163,-0.002148875,0.08189358,0.0,118,15104,114.70398072805256,30208
921.0,-20.4375,274,0.00020190925,0.0,1.6516739,0.0005297715,0.045380525,5.960464477539063e-08,119,15232,115.63604046904948,30464
921.0,-20.4375,266,0.0010982703,0.052734375,1.6331826,-0.006363768,0.08651605,0.0,120,15360,116.59550210903399,30720
921.0,-20.4375,286,0.00048653845,0.0078125,1.5931638,-0.0021357299,0.04748038,0.0,121,15488,117.48891445400659,30976
921.2424242424242,-20.393939393939394,274,0.0005071478,0.0087890625,1.5658959,-0.0032296889,0.06172769,0.007044076919555664,122,15616,118.42297827207949,31232
918.9117647058823,-20.38235294117647,279,0.0009940306,0.03125,1.540204,-0.004811543,0.0551747,0.008450210094451904,123,15744,119.3390216800617,31488
918.9117647058823,-20.38235294117647,287,0.00039499765,0.0,1.4887642,2.1950458e-05,0.039865978,0.0,124,15872,120.23104797501583,31744
918.9117647058823,-20.38235294117647,282,0.0002928416,0.0,1.5026735,-0.00064458256,0.049034417,0.0,125,16000,121.13772789400537,32000
918.9117647058823,-20.38235294117647,282,0.00015786714,0.0,1.4846486,-0.00026809127,0.046872795,-1.1920928955078125e-07,126,16128,122.04333296499681,32256
918.9117647058823,-20.38235294117647,284,0.0010413332,0.038085938,1.4481971,-0.004488854,0.047368295,5.960464477539063e-08,127,16256,122.94460142601747,32512
916.1142857142858,-20.4,285,0.0001983151,0.0,1.4090402,-0.00039427308,0.075836204,0.005449175834655762,128,16384,123.84051495103631,32768
913.5,-20.416666666666668,287,0.0007164693,0.03125,1.4329472,-0.0026247157,0.06706512,0.0012397170066833496,129,16512,124.7303942060098,33024
913.5,-20.416666666666668,284,0.0003849263,0.00390625,1.4541279,-0.001772353,0.047727697,0.0,130,16640,125.63025704910979,33280
913.5,-20.416666666666668,275,0.00032872887,0.0,1.4451182,-0.0023230405,0.0497402,0.0,131,16768,126.55863750609569,33536
913.5,-20.416666666666668,288,0.00021747281,0.0,1.4495094,0.000648606,0.046302997,5.960464477539063e-08,132,16896,127.44612009206321,33792
913.5,-20.416666666666668,286,0.00012424416,0.0,1.434044,-0.00029713725,0.045221046,5.960464477539063e-08,133,17024,128.3394669520203,34048
913.5,-20.416666666666668,287,0.00016012062,0.0,1.4329499,-0.001155613,0.04804838,0.0,134,17152,129.22997582901735,34304
908.7894736842105,-20.44736842105263,279,0.00025232392,0.0,1.414493,-0.0012228858,0.11889225,-0.01588284969329834,135,17280,130.14640250301454,34560
908.7894736842105,-20.44736842105263,285,0.0005234,0.025390625,1.4409174,-0.0018306414,0.040560056,0.0,136,17408,131.04430128110107,34816
908.7894736842105,-20.44736842105263,288,0.00029128938,0.0,1.452548,-0.0016694161,0.053257458,5.960464477539063e-08,137,17536,131.93367030308582,35072
908.7894736842105,-20.44736842105263,274,0.00013496968,0.0,1.4322007,0.0003668756,0.047372278,0.0,138,17664,132.86641707411036,35328
908.7894736842105,-20.44736842105263,282,0.000149321,0.0,1.4290003,-0.0004975241,0.04732341,-1.1920928955078125e-07,139,17792,133.77379397908226,35584
908.7894736842105,-20.44736842105263,283,0.00019543176,0.009765625,1.4291062,-0.0011682084,0.040937252,-1.1920928955078125e-07,140,17920,134.67726566409692,35840
906.5384615384615,-20.46153846153846,275,0.000570714,0.041015625,1.446615,-0.0039466163,0.087228015,0.005816459655761719,141,18048,135.60630203108303,36096
904.775,-20.45,282,0.00064655405,0.0146484375,1.4854326,-0.0010067204,0.087301575,0.006744027137756348,142,18176,136.51223884604406,36352
904.775,-20.45,278,0.00031409034,0.0,1.5181322,-0.0011884172,0.05090986,0.0,143,18304,137.43160827702377,36608
904.775,-20.45,276,0.00025778302,0.0,1.512847,-0.0013876453,0.03985368,0.0,144,18432,138.3585233280901,36864
904.775,-20.45,278,0.0014309292,0.09667969,1.5373883,-0.005457232,0.046203256,0.0,145,18560,139.2792527640704,37120
904.775,-20.45,284,0.0004147195,0.0,1.5718999,-0.0013268027,0.050639857,0.0,146,18688,140.1785483910935,37376
904.775,-20.45,275,0.0014662654,0.0703125,1.599622,-0.005067073,0.040679492,0.0,147,18816,141.10886949009728,37632
902.8048780487804,-20.463414634146343,280,0.0008254526,0.0,1.63137,-0.0033999658,0.08957497,3.427267074584961e-05,148,18944,142.02347968204413,37888
903.4285714285714,-20.452380952380953,280,0.00079999625,0.0,1.657813,-0.0020593225,0.077198505,0.005288302898406982,149,19072,142.93569121009205,38144
903.4285714285714,-20.452380952380953,285,0.0016130734,0.14550781,1.6756276,-0.006707856,0.045121558,5.960464477539063e-08,150,19200,143.8334003050113,38400
903.4285714285714,-20.452380952380953,284,0.0005583599,0.0,1.6876452,-0.0029904554,0.0471862,0.0,151,19328,144.73404128709808,38656
903.4285714285714,-20.452380952380953,286,0.00040176668,0.0,1.689142,-0.0005754676,0.07870468,0.0,152,19456,145.62672513304278,38912
903.4285714285714,-20.452380952380953,275,0.00024082017,0.0,1.6791708,-0.00077389926,0.04456631,0.0,153,19584,146.55554317310452,39168
902.3023255813954,-20.46511627906977,278,0.0006727591,0.0,1.6760108,-0.002809573,0.072840884,0.005668759346008301,154,19712,147.4752968500834,39424
902.3023255813954,-20.46511627906977,287,0.0018510572,0.13378906,1.6615448,-0.005814378,0.051025342,0.0,155,19840,148.3674014910357,39680
902.3023255813954,-20.46511627906977,275,0.00022734368,0.0,1.6482506,-0.0028013308,0.04011431,-1.1920928955078125e-07,156,19968,149.29609324899502,39936
903.9772727272727,-20.454545454545453,277,0.0006458936,0.055664062,1.6438929,-0.0018468624,0.07923922,0.005940258502960205,157,20096,150.2176806560019,40192
903.9772727272727,-20.454545454545453,285,0.00077795214,0.005859375,1.658613,-0.002898714,0.043984793,-1.1920928955078125e-07,158,20224,151.1163454001071,40448
903.9772727272727,-20.454545454545453,282,0.0011692485,0.038085938,1.6740535,-0.0035338684,0.044197273,0.0,159,20352,152.02445702208206,40704
900.7333333333333,-20.466666666666665,281,0.00034182027,0.0068359375,1.686215,-0.00078676536,0.073448956,0.004852473735809326,160,20480,152.93507440004032,40960
900.7333333333333,-20.466666666666665,287,0.00046934016,0.0,1.7023714,-0.0006835691,0.05406831,-1.1920928955078125e-07,161,20608,153.82757486903574,41216
900.7333333333333,-20.466666666666665,285,0.00034571867,0.013671875,1.7126682,-0.0019899625,0.04089189,0.0,162,20736,154.72532878699712,41472
900.7333333333333,-20.466666666666665,287,0.00059939147,0.01171875,1.7137439,-0.0037364708,0.044861484,0.0,163,20864,155.6153490060242,41728
900.7333333333333,-20.466666666666665,280,0.0004584546,0.0,1.7071403,-0.00074725936,0.04919068,0.0,164,20992,156.52953260403592,41984
904.3695652173913,-20.456521739130434,278,0.0005092809,0.0,1.6995498,-0.0019019292,0.106917374,-0.0020939111709594727,165,21120,157.4502569650067,42240
901.3404255319149,-20.46808510638298,279,0.00040254934,0.0,1.6966836,-0.001698714,0.080872,0.006268680095672607,166,21248,158.368064290029,42496
901.3404255319149,-20.46808510638298,285,0.0016215378,0.11328125,1.6677923,-0.0059470097,0.043343656,5.960464477539063e-08,167,21376,159.26567920309026,42752
901.3404255319149,-20.46808510638298,283,0.00046758246,0.0,1.646188,-0.0021694899,0.045495823,0.0,168,21504,160.16975095903035,43008
901.3404255319149,-20.46808510638298,284,0.00060436066,0.01171875,1.6225512,-0.0015067108,0.042938665,-1.1920928955078125e-07,169,21632,161.06867780711036,43264
901.3404255319149,-20.46808510638298,288,0.00023236155,0.0,1.6200981,-0.000601677,0.04372752,0.0,170,21760,161.95573593711015,43520
901.3404255319149,-20.46808510638298,294,0.00073177076,0.06933594,1.6251001,-0.00226361,0.044015966,0.0,171,21888,162.82601656101178,43776
901.9375,-20.458333333333332,280,0.0004057988,0.0,1.6287823,-0.0029148306,0.10030594,-0.004322528839111328,172,22016,163.73873918002937,44032
901.9375,-20.458333333333332,284,0.00020871735,0.0,1.6333603,-0.0007333036,0.08813821,1.1920928955078125e-07,173,22144,164.63887903105933,44288
901.9375,-20.458333333333332,285,0.0007576291,0.0107421875,1.6340423,-0.0043078493,0.046636224,0.0,174,22272,165.5356720710406,44544
906.469387755102,-20.448979591836736,289,0.0005537354,0.0,1.611886,-9.902613e-05,0.06808987,0.004325151443481445,175,22400,166.4200415200321,44800
906.469387755102,-20.448979591836736,292,0.00047546695,0.02734375,1.6026669,-0.003152684,0.082507275,0.0,176,22528,167.29555176605936,45056
906.469387755102,-20.448979591836736,288,0.00021254292,0.0,1.5984572,-0.0009144555,0.04742055,0.0,177,22656,168.18284458806738,45312
903.52,-20.46,285,7.8981866e-05,0.0,1.6000414,-0.00028189702,0.09382749,-0.0014830827713012695,178,22784,169.07885763107333,45568
903.52,-20.46,283,0.0006091782,0.0,1.6101333,-0.0016487086,0.040905274,1.1920928955078125e-07,179,22912,169.98199662810657,45824
903.52,-20.46,287,0.000517102,0.0,1.6264118,-0.0022994608,0.045743667,5.960464477539063e-08,180,23040,170.87401992001105,46080
